age,p_mort_men,p_mort_women,p_cvd_mort_men,p_cvd_mort_women
208,0.236207165,0.207528923,0.073956386,0.066167309
209,0.236207165,0.207528923,0.073956386,0.066167309
210,0.236207165,0.207528923,0.073956386,0.066167309
211,0.236207165,0.207528923,0.073956386,0.066167309
212,0.236207165,0.207528923,0.073956386,0.066167309
213,0.236207165,0.207528923,0.073956386,0.066167309
214,0.236207165,0.207528923,0.073956386,0.066167309
215,0.236207165,0.207528923,0.073956386,0.066167309
216,0.236207165,0.207528923,0.073956386,0.066167309
217,0.236207165,0.207528923,0.073956386,0.066167309
218,0.236207165,0.207528923,0.073956386,0.066167309
219,0.236207165,0.207528923,0.073956386,0.066167309
220,0.236207165,0.207528923,0.073956386,0.066167309
221,0.236207165,0.207528923,0.073956386,0.066167309
222,0.236207165,0.207528923,0.073956386,0.066167309
223,0.236207165,0.207528923,0.073956386,0.066167309
224,0.236207165,0.207528923,0.073956386,0.066167309
225,0.236207165,0.207528923,0.073956386,0.066167309
226,0.236207165,0.207528923,0.073956386,0.066167309
227,0.236207165,0.207528923,0.073956386,0.066167309
228,0.236207165,0.207528923,0.073956386,0.066167309
229,0.236207165,0.207528923,0.073956386,0.066167309
230,0.236207165,0.207528923,0.073956386,0.066167309
231,0.236207165,0.207528923,0.073956386,0.066167309
232,0.236207165,0.207528923,0.073956386,0.066167309
233,0.236207165,0.207528923,0.073956386,0.066167309
234,0.236207165,0.207528923,0.073956386,0.066167309
235,0.236207165,0.207528923,0.073956386,0.066167309
236,0.236207165,0.207528923,0.073956386,0.066167309
237,0.236207165,0.207528923,0.073956386,0.066167309
238,0.236207165,0.207528923,0.073956386,0.066167309
239,0.236207165,0.207528923,0.073956386,0.066167309
240,0.236207165,0.207528923,0.073956386,0.066167309
241,0.236207165,0.207528923,0.073956386,0.066167309
242,0.236207165,0.207528923,0.073956386,0.066167309
243,0.236207165,0.207528923,0.073956386,0.066167309
244,0.236207165,0.207528923,0.073956386,0.066167309
245,0.236207165,0.207528923,0.073956386,0.066167309
246,0.236207165,0.207528923,0.073956386,0.066167309
247,0.236207165,0.207528923,0.073956386,0.066167309
248,0.236207165,0.207528923,0.073956386,0.066167309
249,0.236207165,0.207528923,0.073956386,0.066167309
250,0.236207165,0.207528923,0.073956386,0.066167309
251,0.236207165,0.207528923,0.073956386,0.066167309
252,0.236207165,0.207528923,0.073956386,0.066167309
253,0.236207165,0.207528923,0.073956386,0.066167309
254,0.236207165,0.207528923,0.073956386,0.066167309
255,0.236207165,0.207528923,0.073956386,0.066167309
256,0.236207165,0.207528923,0.073956386,0.066167309
257,0.236207165,0.207528923,0.073956386,0.066167309
258,0.236207165,0.207528923,0.073956386,0.066167309
259,0.236207165,0.207528923,0.073956386,0.066167309
260,0.236207165,0.207528923,0.073956386,0.066167309
261,0.236207165,0.207528923,0.073956386,0.066167309
262,0.236207165,0.207528923,0.073956386,0.066167309
263,0.236207165,0.207528923,0.073956386,0.066167309
264,0.236207165,0.207528923,0.073956386,0.066167309
265,0.236207165,0.207528923,0.073956386,0.066167309
266,0.236207165,0.207528923,0.073956386,0.066167309
267,0.236207165,0.207528923,0.073956386,0.066167309
268,0.236207165,0.207528923,0.073956386,0.066167309
269,0.236207165,0.207528923,0.073956386,0.066167309
270,0.236207165,0.207528923,0.073956386,0.066167309
271,0.236207165,0.207528923,0.073956386,0.066167309
272,0.236207165,0.207528923,0.073956386,0.066167309
273,0.236207165,0.207528923,0.073956386,0.066167309
274,0.236207165,0.207528923,0.073956386,0.066167309
275,0.236207165,0.207528923,0.073956386,0.066167309
276,0.236207165,0.207528923,0.073956386,0.066167309
277,0.236207165,0.207528923,0.073956386,0.066167309
278,0.236207165,0.207528923,0.073956386,0.066167309
279,0.236207165,0.207528923,0.073956386,0.066167309
280,0.236207165,0.207528923,0.073956386,0.066167309
281,0.236207165,0.207528923,0.073956386,0.066167309
282,0.236207165,0.207528923,0.073956386,0.066167309
283,0.236207165,0.207528923,0.073956386,0.066167309
284,0.236207165,0.207528923,0.073956386,0.066167309
285,0.236207165,0.207528923,0.073956386,0.066167309
286,0.236207165,0.207528923,0.073956386,0.066167309
287,0.236207165,0.207528923,0.073956386,0.066167309
288,0.236207165,0.207528923,0.073956386,0.066167309
289,0.236207165,0.207528923,0.073956386,0.066167309
290,0.236207165,0.207528923,0.073956386,0.066167309
291,0.236207165,0.207528923,0.073956386,0.066167309
292,0.236207165,0.207528923,0.073956386,0.066167309
293,0.236207165,0.207528923,0.073956386,0.066167309
294,0.236207165,0.207528923,0.073956386,0.066167309
295,0.236207165,0.207528923,0.073956386,0.066167309
296,0.236207165,0.207528923,0.073956386,0.066167309
297,0.236207165,0.207528923,0.073956386,0.066167309
298,0.236207165,0.207528923,0.073956386,0.066167309
299,0.236207165,0.207528923,0.073956386,0.066167309
300,0.236207165,0.207528923,0.073956386,0.066167309
